,chance of rain,temperature,humidity,wind speed,date,city,lat,lon
0,20,14,93,23,2017-11-20 19:00:00+00:00,Dublin,53.342686,-6.267118
0,18,11,94,14,2017-11-20 19:00:00+00:00,Exeter,50.7184,-3.5339
0,17,12,92,16,2017-11-20 19:00:00+00:00,Truro,50.2632,-5.051
0,40,13,100,24,2017-11-20 19:00:00+00:00,Carmarthen,51.8576,-4.3121
0,40,11,96,20,2017-11-20 19:00:00+00:00,Norwich,52.6309,1.2974
0,51,12,98,28,2017-11-20 19:00:00+00:00,Brighton And Hove,50.8225,-0.1372
0,40,13,97,26,2017-11-20 19:00:00+00:00,Bristol,51.44999778,-2.583315472
0,57,9,92,11,2017-11-20 19:00:00+00:00,Durham,54.7753,-1.5849
0,48,12,100,23,2017-11-20 19:00:00+00:00,Llanidloes,52.4135,-3.5883
0,91,10,93,20,2017-11-20 19:00:00+00:00,Penrith,54.6641,-2.7527
0,40,9,99,6,2017-11-20 19:00:00+00:00,Jedburgh,55.4777,-2.5549
0,44,12,96,16,2017-11-20 19:00:00+00:00,Coventry,52.42040367,-1.499996583
0,44,7,99,3,2017-11-20 19:00:00+00:00,Edinburgh,55.94832786,-3.219090618
0,40,11,95,20,2017-11-20 19:00:00+00:00,Cambridge,52.2053,0.1218
0,52,7,98,6,2017-11-20 19:00:00+00:00,Glasgow,55.87440472,-4.250707236
0,44,10,95,14,2017-11-20 19:00:00+00:00,Kingston upon Hull,53.7457,-0.3367
0,62,11,94,18,2017-11-20 19:00:00+00:00,Leeds,53.83000755,-1.580017539
0,16,13,90,21,2017-11-20 19:00:00+00:00,London,51.49999473,-0.116721844
0,88,12,93,13,2017-11-20 19:00:00+00:00,Manchester,53.50041526,-2.247987103
0,52,11,90,11,2017-11-20 19:00:00+00:00,Nottingham,52.97034426,-1.170016725
0,78,7,88,19,2017-11-20 19:00:00+00:00,Aberdeen,57.1497,-2.0943
0,60,6,93,6,2017-11-20 19:00:00+00:00,Fort Augustus,57.1448,-4.6805
0,88,4,96,15,2017-11-20 19:00:00+00:00,Lairg,58.197,-4.6173
0,40,12,94,21,2017-11-20 19:00:00+00:00,Oxford,51.7517,-1.2553
0,75,2,97,32,2017-11-20 19:00:00+00:00,Inverey,56.9855,-3.5055
0,40,13,92,19,2017-11-20 19:00:00+00:00,Shrewsbury,52.7069,-2.7527
0,45,13,92,19,2017-11-20 19:00:00+00:00,Colwyn Bay,53.2932,-3.7276
0,92,10,98,13,2017-11-20 19:00:00+00:00,Newton Stewart,54.9186,-4.5918
0,40,13,92,24,2017-11-20 19:00:00+00:00,Portsmouth,50.80034751,-1.080022218
